key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-800531187,The Role of Religiosity in Ethical Decision-Making: A Study on Islam and        the Malaysian Workplace,,,,JOURNAL OF BUSINESS ETHICS,0167-4544,,,,"Sulaiman, R and Toulson, P and Brougham, D and Lempp, F and Haar, J and Sulaiman, Rahizah and Toulson, Paul and Brougham, David and Lempp, Frieder and Haar, Jarrod",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","This study investigates how Islamic religiosity affects ethical decision making. The study was conducted in the Malaysian workforce across the public and private sectors with a sample of N = 160. Five factors are tested to determine if they mediate the relationship between Islamic religiosity and ethical intention. These factors are: perceived importance of the ethical issue, moral judgment, ego strength, spiritual intention, and conscience. A parallel mediation design was chosen to test six hypotheses derived from the theoretical literature. The findings indicate that only the variable conscience mediates the relationship between religiosity and ethical intention. This study gives insights into the role of Islam in ethical decision-making, especially for Muslims in Malaysia, an area which has limited exploration. More generally, it contributes to the ongoing discussion in the literature on the relationship between religiosity and ethical decision-making.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531188,A Deeper Look at Autonomous Vehicle Ethics: An Integrative Ethical        Decision-Making Framework to Explain Moral Pluralism,2021,5,4,FRONTIERS IN ROBOTICS AND AI,2296-9144,8,,,"Rhim, J and Lee, JH and Chen, M and Lim, A and Rhim, Jimin and Lee, Ji-Hyun and Chen, Mo and Lim, Angelica",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","The autonomous vehicle (AV) is one of the first commercialized AI-embedded robots to make autonomous decisions. Despite technological advancements, unavoidable AV accidents that result in life-and-death consequences cannot be completely eliminated. The emerging social concern of how an AV should make ethical decisions during unavoidable accidents is referred to as the moral dilemma of AV, which has promoted heated discussions among various stakeholders. However, there are research gaps in explainable AV ethical decision-making processes that predict how AVs' moral behaviors are made that are acceptable from the AV users' perspectives. This study addresses the key question: What factors affect ethical behavioral intentions in the AV moral dilemma? To answer this question, this study draws theories from multidisciplinary research fields to propose the ""Integrative ethical decision-making framework for the AV moral dilemma."" The framework includes four interdependent ethical decision-making stages: AV moral dilemma issue framing, intuitive moral reasoning, rational moral reasoning, and ethical behavioral intention making. Further, the framework includes variables (e.g., perceived moral intensity, individual factors, and personal moral philosophies) that influence the ethical decision-making process. For instance, the framework explains that AV users from Eastern cultures will tend to endorse a situationist ethics position (high idealism and high relativism), which views that ethical decisions are relative to context, compared to AV users from Western cultures. This proposition is derived from the link between individual factors and personal moral philosophy. Moreover, the framework proposes a dual-process theory, which explains that both intuitive and rational moral reasoning are integral processes of ethical decision-making during the AV moral dilemma. Further, this framework describes that ethical behavioral intentions that lead to decisions in the AV moral dilemma are not fixed, but are based on how an individual perceives the seriousness of the situation, which is shaped by their personal moral philosophy. This framework provides a step-by-step explanation of how pluralistic ethical decision-making occurs, reducing the abstractness of AV moral reasoning processes.","RAYYAN-INCLUSION: {""julius.fenn""=>""Included""} | RAYYAN-LABELS: incApplication",,
rayyan-800531189,Enhancing Business Schools' Pedagogy on Sustainable Business Practices        and Ethical Decision-Making,2021,5,,SUSTAINABILITY,,13,10,,"Rodenburg, K and MacDonald, K and Rodenburg, Kathleen and MacDonald, Kelly",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Business school curriculums are designed to improve business skills and a student's eventual workplace performance. In addition to these business skill sets the emerging business environment demands softer skills associated with ethical decision-making and sustainable business practices. The objective of the study is to identify the key influencers of ethical orientation and attitudes towards the environment as a first critical step for curriculum planning designed to develop both ethical decision-making and environmental sensibilities of students in business schools. Using a bivariate regression analysis (OLS) that compared the established New Ecological Paradigm (NEP) scale and the newly introduced Ethical Orientation Scale (EOS), this study assesses environmental eco-consciousness and ethical orientation over time and across varying socio-demographic variables. The study shows first, that in addition to socio-cultural variables, situational factors influence ethical decision-making. Secondly, it illuminates that ethical orientations as measured by the EOS predicts beliefs about the environment as measured by the NEP scale. It further provides evidence of the ethical underpinnings of the New Ecological Paradigm as well as provides initial validation for the new EOS. These outcomes provide additional levers to assist business educators in the creation of high impact teaching strategies to measure and encourage ethical decision-making and sustainable business practices that protect the environment.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531190,Examining the associations between educators' ethics position and        ethical judgment in student assessment practices,2021,9,,STUDIES IN EDUCATIONAL EVALUATION,0191-491X,70,,,"Liu, J and Gao, RQ and Guo, SY and Haynes, A and Ni, SG and Tang, HT and Liu, Jin and Gao, Ruiqin and Guo, Siying and Haynes, Aisha and Ni, Shiguang and Tang, Hengtao",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","The relationship between educators' ethics position and ethical judgment in student assessment practices remain unclear. The current study filled the research gap utilizing a sample of 406 educators (in-service teachers, preservice teachers, and educational administrators) who completed a survey with relevant questions. The respondents were classified into four ethics position groups - situationists, exceptionists, subjectivists and absolutists. They had divided opinions in making ethical judgments (ethical or unethical) on 13 out of the 18 assessment scenarios. The logistic regression results indicated that educators' ethics positions were significantly associated with their ethical judgment in seven student assessment scenarios. Exceptionists were more likely to endorse certain student assessment practices that are not recommended by assessment books, while subjectivists were more likely to have similar opinions with assessment books in certain practices. The study helps us gain a deeper understanding of educators' individual differences in making ethical judgments about student assessment practices.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531191,An empirical study of research ethics and their role in psychologists'        data sharing intentions using consequentialism theory of ethics,,,,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,0961-0006,,,,"Kim, Y and Kim, Youngseek",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","The purpose of this study is to examine how different ethical dimensions of egoism, utilitarianism, and deontology all help in the formation of psychologists' research ethics for data sharing, and how the research ethics eventually affect psychologists making decisions regarding whether to engage in data sharing. This research utilized consequentialism theory of ethics as its theoretical framework to develop its research model of psychologists' data sharing as mediated by research ethics. It conducted an online survey with psychologists in US academic institutions and collected a total of 362 valid responses. Then, it employed the structural equation modeling technique to evaluate the research model and related hypotheses of psychologists' data sharing intentions as mediated by the profession's research ethics. This research found that perceived career benefit, perceived community benefit, and norm of data sharing all significantly contribute to the formation of psychologists' research ethics for data sharing, and then these research ethics, along with perceived community benefit and norm of data sharing, significantly influence psychologists' data sharing intentions. This study suggests that the consequentialism theory of ethics nicely explains psychologists' formation of their research ethics for data sharing and their decision to engage in data sharing. The study also suggests that research communities can better promote researchers' data sharing behaviors by stimulating their research ethics through different ethical dimensions, including egoism (career benefit), utilitarianism (community benefit), and deontology (norm of data sharing).","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531192,The influence of social belonging and creativity on the immoral        consumption behaviors of new adolescents: A cross-cultural study of        16-24 year olds,2021,9,,RECHERCHE ET APPLICATIONS EN MARKETING-ENGLISH EDITION,2051-5707,36,3,70-99,"Maille, V and Gentina, E and Li, Z and Maille, Virginie and Gentina, Elodie and Li, Zhen",,English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","Why do adolescents engage in immoral consumer behavior, like changing a price or lying for a discount? Based on the theory of the need for social belonging, a study of 1,326 Brazilian, Chinese, American, and French adolescents aged 16-24 demonstrates the coexistence of two opposing relationships between belonging to a peer group and judgment of immoral consumption behavior: a direct relationship in which adolescents who feel most integrated are those whose judgment is the most severe, but also an indirect relationship, in which social belonging increases creative self-efficacy, which in turn makes the subject more forgiving of immoral behavior. The respective weights of direct and indirect paths vary with national culture, here the country of residence, and the value of individualism/collectivism. In Brazil and China, which have collectivist cultures, the direct path dominates. In the United States and France, which are more individualistic, the path is indirect.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531193,Unpacking the Effects of Alleged Gender Discrimination in the Corporate        Workplace on Consumers' Affective Responses and Relational Perceptions,2021,4,,COMMUNICATION RESEARCH,0093-6502,48,3,426-453,"Krishna, A and Kim, S and Shim, K and Krishna, Arunima and Kim, Soojin and Shim, KyuJin",,English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","The purpose of this study was to investigate (a) how allegations of gender discrimination affect consumers' relationship with the brand in question, and (b) individual-level factors that affect consumers' negative affective response to the allegations and eventually, consumer-brand relationships. Findings from a survey conducted among 473 Americans indicate that individuals' relational perceptions with a corporate brand whose products/services they consume are negatively affected by allegations of misconduct, in this case, gender discrimination. Results revealed that individuals' moral orientation and anticorporate sentiment predicted their perceptions of moral inequity of corporate behavior, which in turn affected their negative affective response to the allegations. Such negative affective response then affected individuals' consumer-corporate brand relationships.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531194,The Role of Ethical Perceptions in Consumers' Participation and Value        Co-creation on Sharing Economy Platforms,2021,3,,JOURNAL OF BUSINESS ETHICS,0167-4544,169,3,421-441,"Nadeem, W and Juntunen, M and Hajli, N and Tajvidi, M and Nadeem, Waqar and Juntunen, Mari and Hajli, Nick and Tajvidi, Mina",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Consumers' participation on sharing economy platforms is crucial for the success of the products, services, and companies on those platforms. The participation of consumers enables companies to not only exist, but also to create value for consumers. The sharing economy has witnessed enormous growth in recent years and consumers' concerns regarding the ethics surrounding these platforms have also risen considerably. The vast majority of the previous research on this topic is either conceptual and focused on organizational aspects, or only discusses privacy and security issues, thus providing a very limited scope of discussion. Therefore, drawing on the marketing and business ethics literature, the present study takes into account a multidimensional view of ethical issues surrounding consumers' participation on sharing economy platforms. Findings reveal that privacy, security, shared value, fulfillment/reliability and service recovery are the strongest determinants of consumers' ethical perceptions. These aspects strongly predict the consumers' value co-creation intentions. Consumers' participation also predicts their intention to engage in co-creating value, but this effect is stronger with the mediating role of the consumer's ethical perceptions. The theoretical and managerial implications are also discussed.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531195,"Mindfulness, Moral Reasoning and Responsibility: Towards Virtue in        Ethical Decision-Making",2021,2,,JOURNAL OF BUSINESS ETHICS,0167-4544,169,1,103-117,"Small, C and Lew, C and Small, Cherise and Lew, Charlene",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Ethical decision-making is a multi-faceted phenomenon, and our understanding of ethics rests on diverse perspectives. While considering how leaders ought to act, scholars have created integrated models of moral reasoning processes that encompass diverse influences on ethical choice. With this, there has been a call to continually develop an understanding of the micro-level factors that determine moral decisions. Both rationalist, such as moral processing, and non-rationalist factors, such as virtue and humanity, shape ethical decision-making. Focusing on the role of moral judgement and moral intent in moral reasoning, this study asks what bearings a trait of mindfulness and a sense of moral responsibility may have on this process. A survey measuring mindfulness, moral responsibility and moral judgement completed by 171 respondents was used for four hypotheses on moral judgement and intent in relation to moral responsibility and mindfulness. The results indicate that mindfulness predict moral responsibility but not moral judgement. Moral responsibility does not predict moral judgement, but moral judgement predicts moral intent. The findings give further insight into the outcomes of mindfulness and expand insights into the models of ethical decision-making. We offer suggestions for further research on the role of mindfulness and moral responsibility in ethical decision-making.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531196,Avoidance behaviour towards using pirated software: testing a        seven-component model on SME employees,2022,1,17,INFORMATION TECHNOLOGY & PEOPLE,0959-3845,35,1,316-343,"Rahman, MS and Hossain, MA and Fattah, FAMA and Mokter, AMI and Rahman, Muhammad Sabbir and Hossain, Md Afnan and Abdel Fattah, Fadi Abdel Muniem and Ibne Mokter, Abdel Mubdiu",,English,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","Purpose This research aims to develop and test a conceptual model for shaping small and medium enterprise (SME) employees' avoidance behaviour towards using pirated software. The model specifies the components of morality, spirituality, emotional intelligence and ethical values that influence employees' avoidance behaviour towards using pirated software. Design/methodology/approach A conceptual framework was developed and tested on the basis of information technology and management literature by using data from 275 influential and active employees of SMEs. Data were collected via a survey and analysed through covariance-based structural equation modeling (CB-SEM). Findings In the context of SMEs, employees' avoidance behaviour towards using pirated software is motivated by significant moral antecedents. Moral equity and judgement significantly influence employees' avoidance behaviour towards using pirated software when moral emotion mediates such a relationship. In addition, individual spirituality significantly moderates the relationship between moral equity and moral emotion. Employees' emotional intelligence optimises the strength of the relationship between moral judgement and moral emotion. Employees' likelihood to engage in unethical behaviour decreases when they exhibit strong ethical values in the relationship between moral emotion and their behaviour towards using pirated software. Research limitations/implications This study offers theoretical support for employees' avoidance behaviour towards using pirated software. The findings of this cross-sectional work have limited generalisability. Single-country data may not be generalised to SME employees in other countries. Thus, cross-country analysis and additional measures and antecedents must be developed and identified in the future. Practical implications Policymakers and managers should consciously review the proposed seven-component model that causes SME employees to avoid the use of pirated software. Ethical standards that lessen the use of pirated software can be improved if managers and policymakers understand the components of moral equity and judgement that influence moral emotions. Originality/value This study is the first to examine the specific antecedents of the ethical standards and avoidance behaviours of SME employees towards the use of pirated software. As such, it provides a foundation for further studies on this critical area and software piracy in the context of SMEs in an emerging economy, which is limited in current literature.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531197,Business education and students' ethical orientations in a Latin        American business school,2021,11,17,JOURNAL OF EDUCATION FOR BUSINESS,0883-2323,96,8,516-521,"Malave, J and Santalla-Banderali, Z and Gonzalez, RA and Malave, Jose and Santalla-Banderali, Zuleima and Gonzalez, Rosa Amelia",,English,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","This study explored a way of assessing the impact of business education on students' ethical orientations, by comparing MBA students' entry-exit responses to two different instruments. Results showed significant reductions in the propensity for unethical decision scores, but not in the propensity for moral disengagement score. This study had also a practical purpose: to illustrate a way business schools could evaluate their efforts at ethical education and present their achievements in compliance with accreditation requirements (particularly, assurance of learning procedures). By highlighting the study's limitations (particularly, measurement and research design), the authors propose a research program for business schools.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531198,From wearable to insideable: Is ethical judgment key to the acceptance        of human capacity-enhancing intelligent technologies?,2021,1,,COMPUTERS IN HUMAN BEHAVIOR,0747-5632,114,,,"Cristina, OP and Jorge, PB and Eva, RL and Mario, AO and Cristina, Olarte-Pascual and Jorge, Pelegrin-Borondo and Eva, Reinares-Lara and Mario, Arias-Oliva",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","The advent of intelligent wearable (external devices, such as watches and clothing) and insideable (implanted devices, such as identification chips or chips that control technological devices) human-capacity enhancing technologies has opened an ethical debate about their development and use in society. Based on data from an international sample of 1563 digital natives, a model is proposed and tested (1) that introduces ethical judgment and its five dimensions (""moral equity"", ""relativism"", ""utilitarianism"", ""egoism"" and ""contractualism"") to explain intention to use intelligent capacity-enhancing technological devices; (2) that helps to explain the technological leap involved in moving from wearing technologies to incorporating them into the human body, through the moderating role that technology type has in the relationship between ethical judgment and intention to use. The results showed that: (1) Ethical judgment is key for the acceptance of wearables and insideables, and has greater explanatory capacity for insideables than for wearables; (2) ""Egoism"" has the highest explanatory power for intention to use insideables and ""utilitarianism"" is the most important dimension for intention to use wearables. Finally, a series of operational implications are proposed to guide the development and commercialisation of devices, while taking into account the ethical judgment of the users.","RAYYAN-INCLUSION: {""julius.fenn""=>""Included""} | RAYYAN-LABELS: incApplication",,
rayyan-800531199,Ethical relativism in accounting: A cross-cultural examination of the        influence of culture and risk taking propensity on ethical        decision-making,2020,12,,JOURNAL OF INTERNATIONAL ACCOUNTING AUDITING AND TAXATION,1061-9518,41,,,"Vinson, JM and Curtis, MB and Conover, TL and Chui, L and Vinson, Jeremy M. and Curtis, Mary B. and Conover, Teresa L. and Chui, Lawrence",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","Extending prior ethics frameworks, we conduct a cross-cultural survey to examine ethical decision-making and risk taking propensity in the United States (US) and the Middle East and North Africa (MENA). Although there is a significant body of research describing the ethical decision-making of individuals in the US, little is known regarding those in MENA. With increasing business and political involvement between the US and MENA, it is critical that we better understand whether the ethical decision-making of accountants differs between these regions. Additionally, we add to the examination of ethical decision-making by introducing risk taking propensity as an antecedent that is particularly relevant to the accounting domain.        Using path analysis with samples of accounting students in the US and MENA, we find support for our model where region and risk taking propensity influence ethical awareness. Ethical awareness influences judgment, which goes on to influence intention to act in an ethically challenging management accounting situation. Additionally, inconsistent mediation is indicated, where the direct effect and indirect effect (through risk taking propensity) of region on awareness have opposite influences. In this way, risk taking propensity has a suppression effect on the impact of region on ethical behavior. (C) 2020 Elsevier Inc. All rights reserved.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531200,Safety culture transformation-The impact of training on explicit and        implicit safety attitudes,2021,3,,HUMAN FACTORS AND ERGONOMICS IN MANUFACTURING & SERVICE INDUSTRIES,1090-8471,31,2,191-207,"Marquardt, N and Hoebel, M and Lud, D and Marquardt, Nicki and Hoebel, Merle and Lud, Daniela",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA","The present paper investigates the changeability of safety culture elements such as explicit and implicit safety attitudes by training. Therefore, three studies with different time frames, training durations, and settings will be presented. In the first study, the short-term attitude change of students from an international environmental sciences study program was measured after safety training in a chemical laboratory. In the second study, the medium-term attitude change was assessed after a Crew Resource Management training for German production workers in the automotive industry. In the third study, the long-term attitude changes were measured after safety ethics training in a sample of German occupational psychology and business students. Different self-report measures were used to evaluate the training effectiveness of explicit safety attitudes. The change of implicit safety attitudes was assessed by Implicit Association Tests. The results of all three studies revealed a significant training effect on the explicit safety attitudes, but not on the implicit ones. Besides the training effect on the explicit attitudes, there was no effect of time frame (short-, medium-, long-term), training duration (2 h, 2 days, 12 weeks), and setting (chemical laboratory, automotive industry, safety ethics study program) on the attitude change. Based on the results, conceptual, methodological, and practical implications for training effectiveness and safety culture transformation are discussed.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531201,Measuring ethical judgement on ethical choice in an ethical system: a        confirmatory study on Islamic banks in UAE,2021,4,7,INTERNATIONAL JOURNAL OF ISLAMIC AND MIDDLE EASTERN FINANCE AND        MANAGEMENT,1753-8394,14,2,301-316,"Shamsudheen, SV and Rosly, SA and Shamsudheen, Shinaj Valangattil and Rosly, Saiful Azhar",,English,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","Purpose        This paper aims to examine the influence of ethical judgement on decision-making behaviour related to ethical issues of Islamic banking practitioners in the United Arab Emirates (UAE).        Design/methodology/approach        The study adopted a confirmatory approach in which validated/established ""normative ethical standards"" are taken into the consideration as theoretical underpinning. In total, 262 samples are collected from Islamic banking practitioners in the UAE and data analysis is conducted using structural equation modelling.        Findings        The empirical findings indicate that the decision-making behaviour related to ethical issues of Islamic banking practitioners in UAE does not adhere to any set of normative ethical standards and respondents are pragmatic in nature when it comes to the decision-making behaviour related to ethical matters.        Practical implications        The study elucidates to what extent Islamic banking practitioners have encountered themselves with situations that demand the proper attention to the ethical aspects, which affecting decision-making behaviour related to ethical issues. According to the findings, those situations considerably demand the attention of ethical judgement in the decision-making behaviour of Islamic banking practitioners. Hence, it is recommended for Islamic banks in UAE to contain or intensify the training on the importance of ethics, Islamic thought and worldview to enhance corporate decision-making and banking profitability within the purview of Islamic principles.        Originality/value        While ample emphasis has been given to the juristic (fiqh) aspects of ShariMODIFIER LETTER LEFT HALF RINGah-compliant in Islamic banking and finance, relatively little has been attempted to explore its ethical dimensions (akhlaq) in the compliance parameters. Further, ShariMODIFIER LETTER LEFT HALF RINGah-compliant has been product-centric rather than people-centric. While there is numerous literature documented that links ethics and Islamic banking and finance, ethical framework and practice in Islamic finance institutions, studies focusing on the ""people"" and their ""ethical decision-making behaviour"" in Islamic financial institutions found missing in the literature. These gaps serve as justification for undertaking this research.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531202,Understanding Customers' Reactions to Allegations of Corporate        Environmental Irresponsibility,,,,JOURNALISM & MASS COMMUNICATION QUARTERLY,1077-6990,,,,"Krishna, A and Kim, S and Krishna, Arunima and Kim, Soojin",,English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA","The purpose of this study was to examine issue- and organization-specific factors that may influence customers' reactions to allegations of environmental irresponsibility. This study focused on the idea of brand identity fusion to examine how it may act as a figurative shield against the negative cognitive and behavioral impacts of misconduct allegations. To do so, online surveys were conducted among Australian citizens in October 2018. Brand identity fusion lowered customers' perceptions of perceived moral inequity and triggered rewarding behavioral intentions despite the allegations. Situational motivation about environmental issues was found to positively affect boycotting and lower buycotting intentions as well as perceived moral inequity. Theoretical and practical implications are discussed.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531203,Ethical judgement and intent in business school students: the role of        the psyche?,2020,10,,INTERNATIONAL JOURNAL OF ETHICS EDUCATION,2363-9997,5,2,151-186,"Conway, E and Kotera, Y and Conway, Elaine and Kotera, Yasuhiro",,English,SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND","The aim of this paper is to highlight how business schools can improve the ethical behaviour of future managers. It assesses the positions of ethical judgement and ethical intent within a sample of UK business students, together with an analysis of underlying explanatory factors to those positions, such as levels of depression, anxiety, stress, motivation and self-compassion. A range of scales were used to evaluate the ethical stance and psychological characteristics of a group of UK business students. The results indicate that feelings of self-compassion, a sense of self-direction and mental health (in particular, depression) affect the ethical judgement and intent of students in a range of business and university scenarios. It is recommended that in addition to more formal ethics education, universities consider the mental health and psyche of their students to improve the efficacy of ethical training.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
rayyan-800531204,The Passion Pay: Exploring Practices of Talent Exploitation,2020,10,,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,2288-4637,7,10,1015-1024,"Jang, Y and Lee, WJ and Jang, Yongseok and Lee, Woo Jin",,English,KOREA DISTRIBUTION SCIENCE ASSOC,"HANSHIN OFFICETEL STE 1030, 2463-4, SHINHEUNG-DONG SUJEONG-GU, SEONGNAM,        GYEONGGI, 461-713, SOUTH KOREA","This inductive study seeks to establish a conceptual background for theoretical development regarding talent misuse in the context of small and medium-sized enterprises (SME). The two objectives for the goal were (1) to explore and build a list of unethical treatment practiced on young talents; (2) to establish new framework for the special context or refining the existing framework on employee mistreatment. For the first goal, an attempt was made to develop a list of mistreating behavior by collecting and analyzing cases of ethical disputes. Analyses on 64 cases of talent mistreatment, namely 'passion pay', was conducted to present a conceptual ground for further investigation. Then, for the second objective, this study has proposed an integrative approach for assessing these ethical elements. The ethical implications were discussed based on an assessment conducted using three theories of ethics. Finally, a cluster analysis further shows the emergence of three groups based on the mistreating behaviors. We observed seven different mistreatment behaviors under four categories of mistreatment practices. Additionally, the cluster analysis results imply that talent mistreatment may be rooted in work characteristics. Organizational size may provide some contextual reasoning, but the extent to which this factor interacts with work characteristics left unclear.","RAYYAN-INCLUSION: {""julius.fenn""=>""Excluded""}",,
