"";"ID";"item";"questionItem";"value";"category_probe";"category_probe_again";"questionComprehension";"comp_probe";"comp_probe_again"
"154";"23";"deontology09";"attacks the intrinsic value of nature...protects the intrinsic value of nature";"7";"It helps to lower the temperature of the earth back down from dangerous levels. This is important to preserving nature and helping to reverse the damage to nature already caused by humans. It also mirrors a process that nature already produces (volcanoes).";NA;"What do you consider to be a <b>intrinsic value of nature</b> in a technological context?";"I consider it to be using our knowledge and technology to try and prevent any further harm to nature and trying to undo some of the damage we have already caused so that plants and animals can exist in a symbiotic ecosystem.";NA
"155";"25";"contractualist04";"does not respect an unspoken promise...respects an unspoken promise";"6";"In my point of thinking it's an ideal way";"In my point of thinking It's an ideal way.";"What do you consider to be an <b>unwritten promise</b> in a technological context?";"For our own interest we need to do that's technical promise.";NA
"156";"25";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"6";"To protect human made climate change.";"To protect human made climate change.";"Which type of <b>utilities</b> were you thinking of when you answered the question?";"For our own interest we need to do that's technical promise.";NA
"157";"25";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"7";"For our own interest we need to do that's technology Stratospheric Aerosol Injection";NA;"What do you consider to be an <b>unwritten contract</b> in a technological context?";"To protect ourself";"To protect ourself"
"158";"25";"deontology05";"goes against an important moral rule by which I live...does not go against an important moral rule by which I live";"7";"Because it is a demand of time";"Because it is a demand of time";"What do you consider to be a <b>important moral rule</b> in a technological context?";"If you want to save yourself you need to save environment";NA
"159";"25";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"7";"Because it is the most important issue";"Because it is the most important issue";"What does <b>autonomy of users</b> mean for you in a technological context?";"self responsible";"Self responsible"
"160";"25";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"7";"If you want to save yourself you need to save environment";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"If you want to save yourself you need to save environment";NA
"161";"25";"hedonism07";"harms my health...promotes my health";"7";"It protect us from man made climate change";"It protect us from man made climate change";"How can the described technology <b>promotes your health</b>?";"Because it reduce man made climate climate change ";"Because it reduce man made climate climate change "
"162";"26";"contractualist02";"is unfair...is fair";"4";"it can be good or bad";"because it has good and bad effects";"When in your opinion is the described technology <b>fair</b>?";"It means it can be good or bad";"means good or bad"
"163";"26";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"7";"because it was intended to stop greenhouse effects";"it was good invention.";"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"scientist";"Scientist create the technology to help solve our daily problem with solar global warming"
"164";"26";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"4";"Indifferent about it";"It can be good or bad";"What does <b>dignity in interactions</b> mean for you in a technological context?";"effective communication";"effective communication"
"165";"26";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"4";"indifferent about it. ";"because it does not affect moral values";"What do you consider to be a <b>moral behavior</b> in a technological context?";"good or bad behavior in the society";"good or bad behavior in the society"
"166";"26";"deontology04";"is not morally right...is morally right";"4";"indifferent because it can have good or bad effects to humans";NA;"When in your opinion is the described technology <b>morally right</b>?";"when it does more good than harm";"when it does more good than harm."
"167";"26";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"4";"both respects and doesn't respect written contract";"indifferent";"What do you consider to be an <b>unwritten contract</b> in a technological context?";"A contract that is oral and not documented";"an undocumented contract"
"168";"26";"deontology07";"prevents treatment with respect in interactions...ensures treatment with respect in interactions";"5";"because it saves human lives";"saves human live in terms of communications.";"What does <b>respect in interactions</b> mean for you in a technological context?";"obeying communications";"listening to communications"
"169";"27";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"2";"I felt that the users autonomy is taken away, such as believing that we can enact preventative measures to help this from happening, so we do not have to resort to drastic, and largely unknown measures. If we do not hold everyone accountable for conserving, sizing down, companies changing the way they make things, the issue will only get larger. It will never go away.";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"In a moral sense, it lets world citizens ""off the hook"" so to speak, they will, as a whole just keep on doing what they are doing to the planet because they think there is a fix for it.";NA
"170";"27";"deontology04";"is not morally right...is morally right";"3";" It is how I perceive how we should react. To me, I have taken personal accountability for what I can. I live in a small space, drive a small, economical car, I would drive an electric but I cannot afford it. I grow produce in my tiny yard, on my deck, and on my windowsills. I recycle. I have reduced plastics drastically in my home. I compost. I eat mostly plants.I walk everywhere. I live minimally. Science such as this plan can help, but it does not roll the clock back as far as how we contribute.";NA;"When in your opinion is the described technology <b>morally right</b>?";"The plan if it works is good, but to me, not on its own. We need to be vested personally, not just by shouting on social media about the scourge of using a plastuc straw, we need to make fundamental changes in our behavior. We are utterly and completely materialistic to the point that we atre destroying the planet. We need a complete attitude reassessment.";NA
"171";"27";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"2";"To me, everyone should do their part. I feel by only using this solution, it creates a feeling of , all is okay, the government is taking care of it. It does nothing to stop the reasons why we are in this place in the first place.";NA;"What do you consider to be a <b>idea of fairness</b> in a technological context?";"There should be a combination of ways. Much like a type 2 diabetic, you need the scientificly prover medicine, but you also need th changes to the behaviors that created the issue in the first place";NA
"172";"27";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"3";"It creates a certain complacency in the general public, a feeling like , everything is okay now, we do not have to do anything.";NA;"What do you consider to be a <b>moral behavior</b> in a technological context?";"It's a duo-fold issue. We need to stop contributing with our habits and actions, as well as encat the Injection. We are in this together";NA
"173";"27";"deontology05";"goes against an important moral rule by which I live...does not go against an important moral rule by which I live";"2";"To me, I live by a code of not inflicting harm if at all possible, whether it be to a person or nature.";NA;"What do you consider to be a <b>important moral rule</b> in a technological context?";"It needs to be changed  with more than just a bandaid, ie, the Injection fixing the temperature, we need to change the behaviors that lead to it in the first place.";NA
"174";"27";"hedonism07";"harms my health...promotes my health";"4";"The Injection is not inethical itself, but it should be paired with change.";NA;"How can the described technology <b>promotes your health</b>?";"By keeping the earth's temperature where it should be, it would reduce cancers, extreme weather and help crops, the ocean, all contributes to our health";NA
"175";"27";"hedonism03";"requires me to make sacrifices in order to use it...does not require me to make sacrifices in order to use it";"7";"There are no requirements, it does changes all by itself.";NA;"When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?";"I do not think there has to be sacrifices to the technology, there needs to be additional things done by our population";NA
"176";"29";"contractualist02";"is unfair...is fair";"5";"It is a technology that occurs somewhat in nature so from that standpoint man is not making any drastic changes to the environment.  There is a question about how this technology may affect others not in the area where it is being used, so between my two points, I rated it slightly fair.";NA;"When in your opinion is the described technology <b>fair</b>?";"When all nations have the opportunity to use and it would become more of a global or worldwide initiative.  Right now it appears to be by individual countries.";NA
"177";"29";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"6";"Due to the seriousness of the global warming in the 2030 scenario, my hope would be that everyone that is using and developing this technology has man's best interest at heart.  Couldn't rate it a 7 because there are always bad actors out there that may try to use strictly to their individual nation's benefit.";NA;"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"I really viewed it from a totally global perspective.  Nearly all nations working together to solve a common problem.";NA
"178";"29";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"5";"Because right now it is being used by individual nations it is not a completely fair process but I will believe that those that are using it are thinking of the broader global implications which makes it slightly fair.";NA;"What do you consider to be a <b>idea of fairness</b> in a technological context?";"That the use of the product while may harm some in the short term, in the long term everyone will eventually benefit.";NA
"179";"29";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"5";"In nearly all cases like this, we must be doing something and from a personal standpoint, I hope is benefits me but also will be good for others as the technology is developed.";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"At the time that it is being used and developed.";"It is personally satisfactory at the moment.  Right in the here and now."
"180";"29";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"6";"As I stated before, I will always assume that they are looking out for a benefit for a majority of the global population.  There will always be a rogue nation or two that only thinks for themselves or will try to sabotage an initiative if it benefits them.";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"Basically the whole global population.";"The benefit of the technology should in the long run help everyone if proven effective."
"181";"29";"deontology07";"prevents treatment with respect in interactions...ensures treatment with respect in interactions";"4";"I would rate this neutral as I think that most of the uses are for a positive purpose, but harm can come to others because it is being used on a nation by nation basis.  While some benefit, harm may come to others.";NA;"What does <b>respect in interactions</b> mean for you in a technological context?";"How and who the use of the technology will affect as it is being deployed.";NA
"182";"29";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"4";"It is very neutral at this time because it is used only for individual countries and there is no law or rules that pertain to impact on other countries.  At this point, it is somewhat survival of the fittest.";NA;"What do you consider to be an <b>unwritten contract</b> in a technological context?";"Is there any type of thought put into the impact on others not using the technology?";NA
"183";"30";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"6";"I would like to believe that the person who developed this SAI technology is motivated by the desire to slow down the effects of climate change. However there is always a possibility that this person has the wrong motivations, such as being driven purely by a desire for profit.";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"I did not have a very specific vision in mind, but I suspect it would be a researcher at some high-tech company, perhaps a company with some involvement with the aviation industry, like Boeing or Lockheed Martin, who developed this technology.";NA
"184";"30";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"4";"I don't think that the existence of this technology implies a moral obligation either way. It would depend on its effectiveness and its actual use.";NA;"What do you consider to be a <b>moral obligation</b>?";"I believe that we have a moral obligation to stop our ongoing damage and destruction to this planet, for the sake of all life on this planet including future lives. I am just not convinced that the SAI technology involves a moral obligation. It treats the symptoms but not the cause.";NA
"185";"30";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"4";"This technology does not solve or reduce any of the true causes of climate change. All it does is slightly mitigate the effects. While this could be useful and beneficial, I think it also takes away time and effort from truly impactful options.";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"I think it would be selfish to use this technology when companies are choosing this type of technology over making actual, impactful changes on their destructive practices - like abandoning the use of fossil fuels. They may use this technology because it is cheaper and easier than making actual changes.";NA
"186";"30";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"5";"I don't believe that this technology causes any indignities, other than the possible odor of the sulfur. Based on what I've read, it seems relatively harmless.";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"To me this means that the technology does not cause indignities to the people who interact with it, such as health harms or other forms of distress.";NA
"187";"30";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"3";"I interpret this ""unwritten contract"" to refer to our stewardship of the planet. We, as a species, have a responsibility not to destroy our environment. I do not think that this technology respects this contract because it does not solve any of the issues, and although it seems safe we do not really know all of the possible outcomes of its use, especially over the long term.";NA;"What do you consider to be an <b>unwritten contract</b> in a technological context?";"I consider the ""unwritten contract"" in this context to be our responsibility to be good stewards to the environment, and not cause needless harm or wanton destruction to ourselves or other living things. Our technology should obey this contract. Breaking this contract is what caused our climate disaster.";NA
"188";"30";"deontology03";"obliges a certain immoral behavior...obliges a certain moral behavior";"1";"Although this might be a beneficial technology, I would say it obliges immoral behavior because it mitigates some of the harm caused by industries without requiring them to make any actual changes or improvements.";NA;"What do you consider to be a <b>moral behavior</b> in a technological context?";"A moral behavior would be holding those responsible for contributing to climate change accountable, and forcing them to make actual changes in their practices instead of employing technology to mitigate the ongoing damage.";NA
"189";"30";"hedonism08";"harms my freedom...promotes my freedom";"4";"I don't see how this technology either harms or promotes my freedom, in particular. It does not seem that it would have a considerable personal effect on me.";NA;"How can the described technology <b>promotes your freedom</b>?";"It may reduce the severe weather effects of climate change, giving me more freedom to enjoy the outdoors and garden.";NA
"190";"31";"hedonism03";"requires me to make sacrifices in order to use it...does not require me to make sacrifices in order to use it";"7";"It doesn't seem like this technology would impact me personally on a day to day level. ";NA;"When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?";"I do not understand this question. I don't think that individual humans would have to make sacrifices in order for the described technology to be used. ";NA
"191";"31";"hedonism08";"harms my freedom...promotes my freedom";"4";"I don't beleive the technology would have much impact on my freedom in either direction.";NA;"How can the described technology <b>promotes your freedom</b>?";"I guess the technology could promote freedom further down the road if it works and allows individuals to live in a world that is less impacted by climate change, but I don't see the technology promoting freedom in the shorter term.";NA
"192";"31";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"4";"I don't believe the technology has impact on treatment with dignity in interactions one way or the other.";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"Dignity in interactions means feeling respected in experiences with other individuals.";NA
"193";"31";"contractualist02";"is unfair...is fair";"5";"It doesn't sound like the technology would have a lot of impact on individuals day to day and could potentially help the world as a whole. Some may consider it unfair if they are not convinced climate change is real.";NA;"When in your opinion is the described technology <b>fair</b>?";"I think the technology could be considered fair when it has equal benefit for all individuals.";NA
"194";"31";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"5";"I think the technology would be considered satisfactory when it starts to show results. I did not rate it as a 7 because it would not battle the carbon dioxide side of climate change but sounds like it's not likely to hurt if deployed correctly. ";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"The technology is personally satisfactory when the world starts seeing a positive impact of its use.";NA
"195";"31";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"5";"I think the technology provides more utility than less utility for society. Some action must be taken to slow rising temperatures and while this technology might not be the complete answer, it could still be part of the solution.";NA;"Which type of <b>utilities</b> were you thinking of when you answered the question?";"I was thinking of how useful the technology would be in slowing the rising temperatures that are greatly impacting the world.";NA
"196";"31";"deontology01";"does not imply a moral obligation to act in a certain way...implies a moral obligation to act in a certain way";"4";"I don't think it implies a moral obligation to act in a certain why, however, the visual of this technology might remind individuals of the seriousness of the issue and encourage them to adjust their behaviors also.";NA;"What do you consider to be a <b>moral obligation</b>?";"I consider a moral obligation to be a commitment to ethics and the overall wellbeing of all individuals.";NA
"197";"33";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"7";"It allows us to fix our problems more effectively because we can get a break from the suffering due to the climate change we've already caused and maybe remind us of what it was like before. ";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"the ability to exist comfortably where one feels most effective and at ease";NA
"198";"33";"deontology07";"prevents treatment with respect in interactions...ensures treatment with respect in interactions";"7";"The heat makes people crazy.";"The heat makes people crazy. There's an episode of The Boondocks that makes this point. I recommend it. Seriously, though, it makes people violent, anxious... definitely isn't conducive to respect in interactions.";"What does <b>respect in interactions</b> mean for you in a technological context?";"the ability to be at ease with others";"the way one feels at ease when communicating with another"
"199";"33";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"7";"climate change has harmed autonomy";"we need freedom from the heat goddammit";"What does <b>autonomy of users</b> mean for you in a technological context?";"the ability to do as one wills";"Do what thou wilt shall be the whole of the Law.
Love is the Law. Love under will."
"200";"33";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"7";"if anything it ensures fairness";"wars will be fought over climate otherwise... jeez";"What do you consider to be a <b>idea of fairness</b> in a technological context?";"not getting fucked over because someone is desperate because they were displaced by climate change";NA
"201";"33";"hedonism08";"harms my freedom...promotes my freedom";"7";"this is the same thing as autonomy. ";"it's analogous even";"How can the described technology <b>promotes your freedom</b>?";"climate increase is what restricts freedom";"it removes the symptoms if not providing a cure"
"202";"33";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"7";"does it matter what the intentions were in the first place? do you know the history of IBM? HP? Bayer?";NA;"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"Average Americans";"my mental picture had a mixture of white and latino or middle eastern people around my age.. "
"203";"33";"hedonism07";"harms my health...promotes my health";"6";"I feel that the heat is harmful to my health";"I'll take the sulfur! sign me up!";"How can the described technology <b>promotes your health</b>?";"It makes me comfortable";"easing discomfort"
"204";"37";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"5";"This is a difficult question to answer because there are so many unknown factors that have yet to be explored or understood. I think that some utility is being provided. while its uses are also somewhat limited. The positives seem to outweigh the negatives, given the information provided.";NA;"Which type of <b>utilities</b> were you thinking of when you answered the question?";"This will help the environment and even if it's in a limited way so far, I still see this as a positive.";NA
"205";"37";"deontology05";"goes against an important moral rule by which I live...does not go against an important moral rule by which I live";"6";"I don't see too many negatives listed, at least so far.";NA;"What do you consider to be a <b>important moral rule</b> in a technological context?";"An important moral rule would be to not cause any additional harm to the environment or to any living creature on earth.";NA
"206";"37";"contractualist02";"is unfair...is fair";"5";"It seems reasonably fair to use this technology to attempt to improve the situation regarding global warming.";NA;"When in your opinion is the described technology <b>fair</b>?";"This is a difficult question to define, because by fair do you mean, fair to humans? Fair to the balancing act of keeping global warming in check? The cost of this technology and how it would be paid for hasn't been mentioned but is an important consideration.";NA
"207";"37";"contractualist01";"is unjust...is just";"4";"I selected a neutral number because I don't have enough information to say if this technology is unjust. I fell that it's closer to being just than it isn't but am still hesitant to take a firm stance on that.";NA;"When in your opinion is the described technology <b>just</b>?";"When it's determined that the technology won't harm any living thing on earth, it's explained how it will be paid for and who will shoulder that cost, and when it has a good track record for a positive outcome with few or no additional negative impacts to the environment.";NA
"208";"37";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"5";"I feel that the ethical considerations are reasonably satisfactory given the information provided.";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"When a positive and sustainable environmental improvement has been established.";NA
"209";"37";"deontology04";"is not morally right...is morally right";"5";"It's the closest to how I feel on this subject. Slightly positive but reserving my opinion until the technology has been in place for a longer amount of time, to determine how positive the results are long term.";NA;"When in your opinion is the described technology <b>morally right</b>?";"When no humans or living creatures aren't harmed by this technology, and when a proven track record of positive results is achieved over an extended amount of time.";NA
"210";"37";"hedonism07";"harms my health...promotes my health";"5";"I would think that it would work to promote my health in the long run.";NA;"How can the described technology <b>promotes your health</b>?";"By reducing the impact of global warming.";"By improving the likelihood that global warming would not continue to have a negative effect on not only my own health, but also on the health of every living creature."
"211";"40";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"5";"Overall it is not selfish to use and is in fact actually the exact opposite. While it has to happen long term in order to not overall harm it seems as if it needs to be done for the greater good of humanity.";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"If you are only doing it to save yourself without caring about the repercussions or any others/there well being in general. Intent is ultimately the deciding factor.";NA
"212";"40";"hedonism03";"requires me to make sacrifices in order to use it...does not require me to make sacrifices in order to use it";"3";"Overall it doesn't require much sacrifice, the things that are sacrificed are small overall. ";NA;"When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?";"If you for instance had to kill half the population or something drastic like that ";NA
"213";"40";"contractualist01";"is unjust...is just";"5";"Not exactly sure what it means... it is just if it is necessary for sure.";NA;"When in your opinion is the described technology <b>just</b>?";"It is just when it is necessary for human survival.";NA
"214";"40";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"4";"Personally it doesn't matter, it matters for the greater good. ";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"When it helps one/their loved ones survive.";"The same as the prior answer, when it is necessary for your own or your families survival."
"215";"40";"contractualist04";"does not respect an unspoken promise...respects an unspoken promise";"5";"It seems to respect scientific virtues and follow norms that I would back.";NA;"What do you consider to be an <b>unwritten promise</b> in a technological context?";"Something that isn't stated but is just known to typically be followed.";NA
"216";"40";"deontology08";"prevents treatment with dignity in interactions...ensures treatment with dignity in interactions";"4";"I'm not entirely sure what this is asking but I do feel it is a dignified response overall.";NA;"What does <b>dignity in interactions</b> mean for you in a technological context?";"It means that we can be proud of the creation/the reason it was created and is being used.";NA
"217";"40";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"6";"The intentions are overall good, they are trying to save humanity.";NA;"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"All of humanity overall..";"Everyone on earth, it would help the entire planet
"
"218";"41";"contractualist01";"is unjust...is just";"6";"I think it's a smart way to help the problem of global warming, you can use this technique while other solutions are found";NA;"When in your opinion is the described technology <b>just</b>?";"When there is no other way to stop the problem, use what is available";NA
"219";"41";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"6";"I think this tries to find the best solution to this problem";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"I think it is aimed at that person who seeks to improve the quality of life in the future";NA
"220";"41";"virtue09";"is developed by someone who is acting on ill intentions...is developed by someone who is acting on good intentions";"7";"That person definitely has good intentions and I think the wants to improve everyone's life.";NA;"For the development of the technology  which <b>which people or groups of people</b> did you have in mind?";"People with the ability to believe in innovative and unique solution";NA
"221";"41";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"4";"In this part I am a bit neutral regarding this topic, since it is mainly looking for a solution";NA;"What do you consider to be an <b>unwritten contract</b> in a technological context?";"There is nothing written on a piece of paper that forces that person to do something, they can act freely";NA
"222";"41";"contractualist04";"does not respect an unspoken promise...respects an unspoken promise";"5";"I think it's mainly about tactically focusing on solving the problem";NA;"What do you consider to be an <b>unwritten promise</b> in a technological context?";"You don't explicitly guarantee that something will happen the way you said";NA
"223";"41";"hedonism08";"harms my freedom...promotes my freedom";"6";"I don't think I ruined my freedom, try to help me stay free and have no problems in the future";NA;"How can the described technology <b>promotes your freedom</b>?";"Making it possible for me to freely go anywhere without worrying about global warming";NA
"224";"41";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"7";"Help society to solve a very serious problem in the future that can harm";NA;"Which type of <b>utilities</b> were you thinking of when you answered the question?";"Utilities regarding personal and world comfort regarding the problems that are solved by this inconvenience";NA
"225";"42";"deontology09";"attacks the intrinsic value of nature...protects the intrinsic value of nature";"5";"Although it does not solve all the problems related to global warning, it is a step in the right direction. I thought it was slightly more positive than neutral and definitively more positive than negative. I do think every little bit helps. ";NA;"What do you consider to be a <b>intrinsic value of nature</b> in a technological context?";"An intrinsic value of nature in regards to technology is a value that does more harm than good and functions at a level that serves the greater good (utilitarianism). ";NA
"226";"42";"utilitarian01";"provides the least utility for society...provides the greatest utility for society";"5";"The SAI provide some value for society - not the utmost, but some. It creates an opportunity to make an impact, albeit small.";NA;"Which type of <b>utilities</b> were you thinking of when you answered the question?";"The utility of creating potential to reduce the overall increase in temperature. ";NA
"227";"42";"contractualist03";"does not respect an unwritten contract...respects an unwritten contract";"5";"As humans we have an unwritten contract to save our planet and to care for it. That means that although we may not be able to solve every problem on a large scale, or fix all things broken, we continually strive to reduce harm and take steps to ammend the harms we have already caused. ";NA;"What do you consider to be an <b>unwritten contract</b> in a technological context?";"I epxlained that in the previous answer. To protect the earth reduce harms and right the wrongs that have already occurred. ";NA
"228";"42";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"6";"Someone was motivated to reduce the earths temperature by creating these particles that deflect light. That motivation was good. ";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";" I had no person or people in mind when I thought of the technology";NA
"229";"42";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"5";"I don't understand how it could be considered selfish at all?";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"I can't imagine any circumstances in which it would be selfish?";NA
"230";"42";"deontology05";"goes against an important moral rule by which I live...does not go against an important moral rule by which I live";"6";"The moral rule that hopefully many of us live by is to reduce harm to the planet. ";NA;"What do you consider to be a <b>important moral rule</b> in a technological context?";"An important moral rule is one that falls on the right side of the Principalist approach, autonomy, beneficense, non-malfeasance, justice";NA
"231";"42";"hedonism03";"requires me to make sacrifices in order to use it...does not require me to make sacrifices in order to use it";"7";"Nothing has to change in my behavior for this technology to be used. ";NA;"When in your opinion requires the described technology to <b>make sacrifices in order to use it</b>?";"This question is not clear to me and does not seem to fit, an overall aerosol technology does not require society or an individual to make sacrifices. ";NA
"232";"43";"hedonism01";"is personally unsatisfactory...is personally satisfactory";"2";"I find Sratospheric Aerosol Injection to be a temporary band-aid solution. If SAI malfunctions, it would put humanity at risk. There's also a risk of SAI being targeted by bad actors. SAI fixes the problem, but does not solve the problem.";NA;"When in your opinion is the described technology <b>personally satisfactory</b>?";"Stratospheric Aerosol Injection is personally satisfactory because if it weren't for the system, the planet would not be habitable. I believe while SAI is deployed, a real permanent solution should be worked on.";NA
"233";"43";"contractualist06";"violates my ideas of fairness...does not violate my ideas of fairness";"6";"Stratospheric Aerosol Injection does not violate my ideas of fairness because the creation of the technology itself would benefit society until a permanent solution is found.";NA;"What do you consider to be a <b>idea of fairness</b> in a technological context?";"The technology should be shared by all of humanity. Improvements to the system should be a global project while also working on a more permanent solution.";NA
"234";"43";"contractualist04";"does not respect an unspoken promise...respects an unspoken promise";"3";"As I've mentioned before, Stratospheric Aerosol Injection is a temporary fix. Temperatures will continue to increase if humanity does not find a real solution to combat global warming.";NA;"What do you consider to be an <b>unwritten promise</b> in a technological context?";"I'm not sure what this question is asking of me. ";"I'm not sure what this question is asking, but I believe climate change needs to be addressed directly and not indirectly with a system like Stratospheric Aerosol Injection. Oceans also need to be protected."
"235";"43";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"4";"It would be up to the government to use the system. I would not have much of a choice in whether I use the system or not. If I did have a choice, it would only be used as a last resort.";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"It would be selfish if the system was used just for the sake of using it. Kind of like turning on the air conditioner when it's a little warm.";NA
"236";"43";"deontology02";"harms the autonomy of users...promotes the autonomy of users";"3";"Although temperatures would drop and people will benefit from it, it may do more harm than good in the long run. Releasing all the sulfur particles into the atmosphere may lead to more problems down the road. ";NA;"What does <b>autonomy of users</b> mean for you in a technological context?";"SAI technology does not give people a choice in the matter. The system would be forced on people who oppose it.";NA
"237";"43";"deontology05";"goes against an important moral rule by which I live...does not go against an important moral rule by which I live";"2";"People have grown accustomed to instant gratification and this is what the SAI system provides. No one knows the damage SAI may cause in the future. I am against a system that gambles the lives of mankind.";NA;"What do you consider to be a <b>important moral rule</b> in a technological context?";"The technology should not be abused or used as a weapon or bargaining tool. It should also not be forced onto people.";NA
"238";"43";"hedonism08";"harms my freedom...promotes my freedom";"2";"As I mentioned before, I do not have much of a choice in whether SAI is used or not which I consider a violation of my freedom.";NA;"How can the described technology <b>promotes your freedom</b>?";"The technology could support my freedom by keeping me a live if a permanent solution to global warming is not found.";NA
"239";"45";"hedonism08";"harms my freedom...promotes my freedom";"4";"I don't feel that it either harms my freedom or promotes my freedom. It might hinder some people's freedom, especially if they are allergic to sulfur. I have a neighbor that is allergic to it and I have a son that is allergic to it, it might affect their being able to be outside, they already have allergy problems.";NA;"How can the described technology <b>promotes your freedom</b>?";"The only way that I could see it promoting my freedom would be that the temperatures don't rise so significantly that I would be able to enjoy the outside like I already do. I can't really see how it would be beneficial to several things like air quality though, or changes in weather patterns. Doesn't lightening put off a certain amount of sulfur in the air already?";NA
"240";"45";"hedonism02";"would be selfish for me to use...would not be selfish for me to use";"2";"Again, I'm thinking of the people that may be allergic to the injection process and how it might would affect the weather in a different way than expected. Trying to keep the temps the same might would have an adverse affect also.";NA;"Under which circumstances in your opinion is the described technology <b>selfish for you to use</b>?";"Not thinking of the adverse affects and allergies from the sulfur on people that are allergic to it.";NA
"241";"45";"deontology04";"is not morally right...is morally right";"3";"I think it's messing with the power of God and how He has the main control over the weather and man is always trying to mess things up...I really can't see it as a morally right thing to do to go with messing with the natural weather given us.";NA;"When in your opinion is the described technology <b>morally right</b>?";"I can't see it as morally right. It's messing with something that we can not control either way.";NA
"242";"45";"virtue01";"is developed by someone who has wrong motivations...is developed by someone who has good motivations";"1";"I think it's motivated by scientific experiments and think that it has wrong motivations from the beginning.";NA;"For the development of the technology  <b>which people or groups of people</b> did you have in mind?";"Scientist, and inventors. I think it's to benefit their purpose in understanding more things that they have no control over in the beginning.";NA
"243";"45";"hedonism07";"harms my health...promotes my health";"1";"I can see/imagine it as harming people's health in the long run, instead of benefiting the weather. ";NA;"How can the described technology <b>promotes your health</b>?";"I can't really see/imagine it promoting one's health. ";NA
